Path,index,distance
train,0,0.17239038482604097
train,1,0.17311041330426014
train,2,0.1701053515756722
train,3,0.1619307076423474
train,4,0.1410569862723855
train,5,0.11356074748605782
train,6,0.08046674980704904
train,7,0.049288846506401085
train,8,0.02474181796928765
train,9,0.009879291471807106
train,10,0.0023204895074698806
train,11,2.801679479802477e-05
train,12,0.004156354648474414
train,13,0.01546016936220762
train,14,0.034824669496162586
train,15,0.06387354645924781
train,16,0.10457874332145078
train,17,0.03260355235506007
train,18,0.0015586841007989571
train,19,0.006738639646611477
train,20,0.02080376620397051
train,21,0.02929899608572739
train,22,0.059670395543983124
train,23,0.0939311697418741
train,24,0.1221305526543851
train,25,0.1341727103182857
train,26,0.11664281216145911
train,27,0.018054565907958953
train,28,0.00670261961016605
train,29,0.0016116863197094267
train,31,0.00955933798097175
train,32,0.0044743943473435355
train,33,0.001490246589416766
train,34,4.234837997474372e-05
train,35,0.0005822472029950454
train,36,0.012555993159587664
train,37,0.002787269182117136
train,38,6.49007445430172e-06
train,39,0.00032580364289080954
train,40,0.0012924735125326992
train,41,0.0067984408059094115
train,42,0.03162964580340433
train,43,0.04975875778060723
train,44,0.06075934019585327
train,45,0.0638768615171964
train,46,0.048995493432625103
train,47,0.039206315033727845
train,48,0.04030852466916757
train,49,0.022037885160397952
train,50,0.011435205300898144
train,51,0.007045208893649568
train,52,0.003611694804074861
train,53,0.001544760946463497
train,54,0.000516289014396043
train,55,0.003017069001427397
train,56,0.006783392311285552
train,57,0.011190923369595152
train,58,0.017063397131175773
train,59,0.02731840558136367
train,60,0.03431510816490324
train,61,0.013864736645924025
train,62,0.008516070883162752
train,63,0.004964068706985625
train,64,0.0010373704108951332
train,65,0.004918967414330955
train,66,0.00866001660771376
train,67,0.013931911592302115
