Path,index,distance
train,0,0.07641921355629888
train,1,0.08052567200448224
train,2,0.08018134563472801
train,3,0.08108978068553174
train,4,0.07957267128336121
train,5,0.06776964982667455
train,6,0.047727254496118365
train,7,0.02841587996807604
train,8,0.011443331471247542
train,9,0.002188496021506836
train,10,0.00024487636879066965
train,11,0.005977587078368596
train,12,0.018730126060853447
train,13,0.03701712231002241
train,14,0.061750324567997006
train,15,0.09419739542835937
train,16,0.13578058928742454
train,17,0.03465226032143687
train,18,0.01186837024053855
train,19,4.8189250822616714e-05
train,20,0.0057029140135358425
train,21,0.015584061956312234
train,22,0.06531874537097127
train,23,0.10589323918986493
train,24,0.13868300047791293
train,25,0.15069155750643504
train,26,0.13973910064825923
train,27,0.017876573190642953
train,28,0.006797177047434877
train,29,0.001558580587178282
train,31,0.004456881160501025
train,32,0.0020242615003461806
train,33,0.00032850925807403897
train,34,0.0004259576367754425
train,35,0.0034085470639784177
train,36,0.01049299320287811
train,37,0.001617541020369373
train,38,0.00023065200072680536
train,39,0.002333984645671916
train,40,1.5103375204383873e-05
train,41,0.0032691578838378588
train,42,0.04834408147338698
train,43,0.07018925922642105
train,44,0.0846125146127269
train,45,0.08723410932656794
train,46,0.07268945115603542
train,47,0.0592093468332735
train,48,0.023639258539438157
train,49,0.01264497621652605
train,50,0.0045302167908799484
train,51,0.0013035148559996657
train,52,1.7171403650428907e-05
train,53,0.0019173661797702302
train,54,0.0038374014950952606
train,55,5.77842448266086e-05
train,56,0.00176204320074147
train,57,0.0063568777367857265
train,58,0.012408569228550825
train,59,0.020152047505582638
train,60,0.02022353146986089
train,61,0.005708232956341708
train,62,0.0016202032315214554
train,63,1.818338161074795e-05
train,64,0.0026508692184871174
train,65,0.0010950659976834975
train,66,0.005037343424227014
train,67,0.010600346529982763
