Path,index,distance
train,0,0.061272448008914515
train,1,0.10274874954678004
train,2,0.13272229896861187
train,3,0.15094339622641506
train,4,0.15959671616120508
train,5,0.15022588138471493
train,6,0.12903407258006527
train,7,0.10142886061020784
train,8,0.06671737589338755
train,9,0.03635302243162242
train,10,0.014632660119830998
train,11,0.003190962330395064
train,12,3.1760884869114214e-05
train,13,0.003946710651122176
train,14,0.014947663406776113
train,15,0.03346993529624187
train,16,0.06232582356369942
train,17,0.0016516444487049142
train,18,0.007802709956909459
train,19,0.04109477961954566
train,20,0.06560393349391891
train,21,0.06384286566551611
train,22,0.1025860116392826
train,23,0.1316075625035782
train,24,0.13562307323347222
train,25,0.12018678667249938
train,26,0.09545835871972297
train,27,0.03547062549310087
train,28,0.01451494468572545
train,29,0.0035884522583675693
train,31,0.010552295468408857
train,32,0.0073809700625949715
train,33,0.0045973554957534635
train,34,0.0016462133811596669
train,35,0.00014518218288483986
train,36,0.0005371887831034927
train,37,0.002949709269158496
train,38,0.009947672853214629
train,39,0.0095200357627363
train,40,0.0021284512091275243
train,41,1.1845606061267056e-05
train,42,0.04539841852458071
train,43,0.06505025876401904
train,44,0.0709419695317407
train,45,0.0643550249787842
train,46,0.05370969546801907
train,47,0.04669821622993964
train,48,0.06041070868331966
train,49,0.038542294102751895
train,50,0.023738253597077708
train,51,0.01780596849132199
train,52,0.0109130302281778
train,53,0.006006529916685821
train,54,0.003326335838695349
train,55,0.011423549763914798
train,56,0.021641390060187837
train,57,0.029736985392535775
train,58,0.039413255521769774
train,59,0.05232476254647844
train,60,0.05325609475075466
train,61,0.028897777027342864
train,62,0.021630901593384877
train,63,0.014543323903641658
train,64,0.004259648865413745
train,65,0.01597398220493751
train,66,0.023250930926131175
train,67,0.0313908641234204
